id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Skualo Kavallini@ bbeikhd@ 1973-1-17@
2@ Xanxas Udzumaki@ lvy@ 1999-10-22@ 1
3@ Yui Aron@ waeji@ 1972-2-5@ 2
4@ Fran Haruno@ vtvqh@ 1986-5-28@ 3
5@ Mukuro Suberbia@ zjxcunr@ 1992-2-24@ 4
6@ Mai Uchiha@ xtmx@ 1980-2-17@ 5
7@ Ponio Death@ kvfnogl@ 1982-6-8@ 6
8@ Mai Haruno@ fthmxdoh@ 1995-11-10@ 7
9@ Ponio Haruno@ pjj@ 1989-6-8@ 8
10@ Kioko Aron@ udlnwz@ 1988-1-20@ 9
11@ Kioko Stein@ qqrsvzb@ 1988-9-15@ 10
12@ Belfegor Suberbia@ einwebvs@ 1993-2-2@ 11
13@ Mukuro Suberbia@ rwsdsm@ 1987-9-20@ 12
14@ Skualo Aron@ qmqpjan@ 1981-4-2@ 13
15@ Skualo Udzumaki@ putfb@ 1972-11-25@ 14
16@ Belfegor Haruno@ ooubff@ 1990-9-23@ 15
17@ Tsunaeshi Udzumaki@ fmebldu@ 1996-2-11@ 16
18@ Mai Uchiha@ qrdd@ 1991-11-12@ 17
19@ Skualo Kavallini@ pzrna@ 1978-8-24@ 18
20@ Skualo Uchiha@ yoyxfvnr@ 1993-4-25@ 19
21@ Fran Sawada@ kxrmr@ 1995-1-26@ 20
22@ Kioko Rokudo@ gmyo@ 1985-9-21@ 21
23@ Xanxas Haruno@ ueaicu@ 1976-11-12@ 22
24@ Xanxas Rokudo@ rffxggwt@ 1996-5-4@ 23
25@ Maka Sawada@ nfzojta@ 1979-9-24@ 24
26@ Ponio Albarn@ yzminf@ 1986-2-16@ 25
27@ Fran Aron@ nfof@ 1988-6-18@ 26
28@ Ponio Suberbia@ nutwifi@ 1988-12-13@ 27
29@ Kioko Uchiha@ mvwwxo@ 2000-12-15@ 28
30@ Ponio Rokudo@ nvrgspne@ 2000-1-5@ 29
31@ Soul Sawada@ enyj@ 1970-11-11@ 30
32@ Tsunaeshi Albarn@ bmrgnaq@ 1985-9-18@ 31
33@ Xanxas Sawada@ fpjvjlzs@ 1971-1-11@ 32
34@ Mai Rokudo@ vkwnzkcx@ 1994-9-8@ 33
35@ Tsunaeshi Uchiha@ pme@ 1999-6-25@ 34
36@ Soul Stein@ slxsmllx@ 1992-10-26@ 35
37@ Belfegor Kavallini@ ztaxgchf@ 1971-3-28@ 36
38@ Fran Albarn@ hlbzfnb@ 1986-11-20@ 37
39@ Soul Haruno@ xmavkvs@ 1982-3-22@ 38
40@ Fran Haruno@ rrsa@ 1982-10-8@ 39
41@ Tsunaeshi Kavallini@ xauhqd@ 1997-2-1@ 40
42@ Fran Suberbia@ sqeaj@ 1977-4-25@ 41
43@ Maka Albarn@ cfs@ 1975-7-26@ 42
44@ Maka Uchiha@ aub@ 1977-10-13@ 43
45@ Belfegor Stein@ vnayqh@ 1971-11-24@ 44
46@ Tsunaeshi Suberbia@ aszyebya@ 1974-12-21@ 45
47@ Soul Haruno@ nie@ 1988-11-1@ 46
48@ Kioko Aron@ snlmbeyp@ 1982-5-27@ 47
49@ Yuki Stein@ bhmf@ 1976-8-19@ 48
50@ Yuki Rokudo@ gfzimjrd@ 1985-2-7@ 49
51@ Kioko Albarn@ zjsbnoy@ 1978-10-24@ 50
52@ Tsunaeshi Sawada@ njtio@ 1988-4-23@ 51
53@ Kioko Uchiha@ pbnr@ 1978-6-13@ 52
54@ Fran Suberbia@ zjyb@ 1971-9-8@ 53
55@ Fran Albarn@ rtis@ 1981-4-4@ 54
56@ Yui Aron@ eoq@ 1996-8-4@ 55
57@ Mukuro Suberbia@ oxrh@ 1980-10-15@ 56
58@ Xanxas Suberbia@ vmp@ 1982-10-12@ 57
59@ Skualo Udzumaki@ nnpcom@ 1977-2-6@ 58
60@ Soul Stein@ pvdgaft@ 1987-8-19@ 59
61@ Xanxas Stein@ ubj@ 1986-1-15@ 60
62@ Yuki Albarn@ robgsxh@ 1988-3-22@ 61
63@ Yui Stein@ loovbv@ 1991-8-3@ 62
64@ Yuki Death@ hwsme@ 1975-6-19@ 63
65@ Ponio Aron@ sunagkww@ 1972-4-3@ 64
66@ Mai Death@ qjkq@ 1994-12-11@ 65
67@ Yui Sawada@ bvulox@ 1999-11-6@ 66
68@ Yui Sawada@ ebvah@ 1976-3-22@ 67
